"","conservation","cluster","gene","human_AUC","marmoset_AUC","mouse_AUC","human_power","marmoset_power","mouse_power","human_avg.1","human_avg.2","marmoset_avg.1","marmoset_avg.2","mouse_avg.1","mouse_avg.2","human_prop.1","human_prop.2","marmoset_prop.1","marmoset_prop.2","mouse_prop.1","mouse_prop.2"
"PROX1.1","human_marmoset_mouse","Vip","PROX1",0.895,0.756,0.837,0.79,0.512,0.674,1.44965646640335,0.247171926320745,0.688654697528772,0.139046985122694,1.27668071300991,0.278386997333242,0.916313904265711,0.210243277848912,0.642628205128205,0.149235993208829,0.84007996001999,0.223181667220193
"MAPK4.1","human","Vip","MAPK4",0.882,NA,NA,0.764,NA,NA,1.31933820855418,0.245644751570798,0.255519667788931,0.129195583804938,0.401742137988434,0.330278396437162,0.89482253337675,0.237772087067862,0.296474358974359,0.154329371816638,0.387806096951524,0.330454998339422
"KCNT2.1","human_marmoset_mouse","Vip","KCNT2",0.872,0.917,0.905,0.744,0.834,0.81,2.36694035029204,0.758999785953595,2.08392975990648,0.396908718070783,2.22193369457735,0.757758523715116,0.949527841094106,0.468629961587708,0.955128205128205,0.295585738539898,0.980009995002499,0.584357356360013
"SOBP","human_marmoset_mouse","Vip","SOBP",0.86,0.86,0.86,0.72,0.72,0.72,2.23880827821148,1.44787204178647,1.77786932076031,0.881888954291397,2.34114410346541,1.4394583073678,0.997720612178444,0.956466069142126,0.97542735042735,0.784889643463497,0.999500249875062,0.944702756559283
"SEZ6L","human","Vip","SEZ6L",0.857,NA,NA,0.714,NA,NA,1.85017013017925,0.711658891246002,0.636657133841465,0.276557544998101,0.782109470873255,0.74692649963207,0.982741777922501,0.53943661971831,0.591880341880342,0.307130730050934,0.657671164417791,0.653105280637662
"PLD5","human","Vip","PLD5",0.85,NA,NA,0.7,NA,NA,2.50229443090598,1.14949616730095,0.527049248074705,0.557841964228653,0.489909781635241,0.64248880761542,0.993813090198632,0.663636363636364,0.387286324786325,0.371816638370119,0.402298850574713,0.441713716373298
"GALNTL6","human_marmoset","Vip","GALNTL6",0.846,0.809,NA,0.692,0.618,NA,4.09696129508832,2.20073988304314,3.61728838430324,1.86909519082662,4.08522512225083,4.16655028599538,1,0.75685019206146,0.998931623931624,0.723599320882852,0.994502748625687,0.981899701095981
"SLC24A3.1","human_marmoset_mouse","Vip","SLC24A3",0.845,0.818,0.801,0.69,0.636,0.602,2.41922590173261,1.21109927316692,1.90093673715382,0.877223610937224,2.60783770110924,1.65325932572021,0.989905568218821,0.7348271446863,0.965277777777778,0.627164685908319,0.996501749125437,0.872965792095649
"NRXN1.1","human_marmoset_mouse","Vip","NRXN1",0.845,0.773,0.923,0.69,0.546,0.846,4.2667055155571,3.15353243187599,3.38071328607314,2.6218948171557,4.4669710384722,3.51758860071311,1,0.99449423815621,1,0.991001697792869,1,1
"PTPRE","human_marmoset","Vip","PTPRE",0.837,0.719,NA,0.674,0.438,NA,1.8696530245047,0.992919249331898,1.12054995248859,0.570024677975488,0.88297613558339,0.489785276672737,0.974601107131228,0.768245838668374,0.809294871794872,0.528353140916808,0.694652673663168,0.401693789438725
"CSMD1","human_marmoset","Vip","CSMD1",0.835,0.853,NA,0.67,0.706,NA,4.62370554752125,3.73710093491322,4.03067075966672,3.29656538248204,3.52881295758781,3.56574485477906,1,0.974647887323944,0.998931623931624,0.996264855687606,0.974012993503248,0.988874128196612
"ARPP21.1","human_marmoset_mouse","Vip","ARPP21",0.834,0.81,0.761,0.668,0.62,0.522,1.69062167056942,0.330430971568532,1.22204183321973,0.299647545318,1.54947681459899,0.672179907429868,0.81406707912732,0.227784891165173,0.795405982905983,0.272835314091681,0.870064967516242,0.475589505147791
"NLGN1","human","Vip","NLGN1",0.829,NA,NA,0.658,NA,NA,3.82036622781846,2.84857546607738,3.0656529805773,2.64755134211607,3.04571246703767,2.28079534831499,1,0.955569782330346,0.998397435897436,0.967402376910017,0.995002498750625,0.89256061109266
"CDH10.1","human_marmoset","Vip","CDH10",0.828,0.78,NA,0.656,0.56,NA,2.110321518697,1.02232647387116,1.33222118924723,0.529861035986353,1.7370585150213,1.34526932250145,0.989254314555519,0.648271446862996,0.861111111111111,0.437691001697793,0.940529735132434,0.830454998339422
"AK5","human","Vip","AK5",0.827,NA,NA,0.654,NA,NA,1.83202716068442,0.86921219384227,0.927857772863222,0.606648996567933,0.347927736851627,0.818343750496207,0.953760989905568,0.704097311139565,0.740384615384615,0.549066213921902,0.328335832083958,0.682497509133178
"CLVS1","human_marmoset","Vip","CLVS1",0.82,0.78,NA,0.64,0.56,NA,1.66994704758344,0.922453585590756,1.7698260244794,1.1047950306566,1.33399378661682,1.13861979599461,0.974275480299577,0.798847631241997,0.979166666666667,0.845500848896435,0.909045477261369,0.870807040850216
"NEDD4L.1","human_marmoset","Vip","NEDD4L",0.813,0.724,NA,0.626,0.448,NA,1.86263204955163,0.976496240228668,1.28865656834801,0.70128869364563,1.31973987729025,1.28943609265272,0.989254314555519,0.678745198463508,0.876602564102564,0.598132427843803,0.888555722138931,0.883593490534706
"OLFM3","human_marmoset","Vip","OLFM3",0.811,0.742,NA,0.622,0.484,NA,1.83937637203646,0.474510930914426,1.14041982346994,0.363814513922748,0.987644490221437,0.533197795378638,0.798436991208076,0.38169014084507,0.702991452991453,0.320543293718166,0.67616191904048,0.356526071072733
"THSD7A","human_marmoset","Vip","THSD7A",0.81,0.857,NA,0.62,0.714,NA,2.65044524400283,1.25980912234625,2.1949335813406,0.672202986638252,1.57753672561583,1.166165266978,0.944969065450993,0.651216389244558,0.923076923076923,0.466893039049236,0.750624687656172,0.633842577216871
"SYNPR.1","human_marmoset_mouse","Vip","SYNPR",0.81,0.785,0.784,0.62,0.57,0.568,3.05076902450176,1.66234233162307,2.11839232563371,1.16634051124151,2.83818689754484,1.52411224083383,0.996743731683491,0.689756722151088,0.989850427350427,0.678777589134126,0.993003498250875,0.639986715376951
"NCAM1.1","human","Vip","NCAM1",0.81,NA,NA,0.62,NA,NA,2.5484653561111,1.9632369091418,1.12468495222177,0.787763413766992,2.20832929729464,1.9081307904266,0.999674373168349,0.989372599231754,0.86698717948718,0.722410865874363,0.9960019990005,0.983726336765194
"LRFN2","human_marmoset_mouse","Vip","LRFN2",0.808,0.789,0.771,0.616,0.578,0.542,1.14028185706469,0.36206178575771,0.944898661693887,0.245362343138444,1.2511012299964,0.561406429738898,0.846629762292413,0.37797695262484,0.760149572649573,0.270118845500849,0.866566716641679,0.526735303885752
"L3MBTL4.1","human_marmoset","Vip","L3MBTL4",0.805,0.758,NA,0.61,0.516,NA,1.82030893860754,0.704978320545033,1.17200686206084,0.443831250291923,0.0715091657180928,0.111017929563167,0.915988277434061,0.438028169014085,0.810363247863248,0.346859083191851,0.0804597701149425,0.114745931584191
"NKAIN3.1","human","Vip","NKAIN3",0.796,NA,NA,0.592,NA,NA,1.61304729412574,0.509848563037178,0.71274062385518,0.226720093824997,1.00756069176247,0.899318977257239,0.839465971996093,0.329577464788732,0.488247863247863,0.172495755517827,0.674662668665667,0.479076718698107
"SNTG1","human","Vip","SNTG1",0.796,NA,NA,0.592,NA,NA,3.70058855716822,2.76748982964002,1.99534247440181,1.7704200023278,3.13638908875975,2.85506299341403,1,0.952112676056338,0.977564102564103,0.893718166383701,0.999500249875062,0.998837595483228
"SCG2.1","human","Vip","SCG2",0.782,NA,NA,0.564,NA,NA,1.50371917804517,0.664812189901123,0.349030879734925,0.262115418920434,1.62629125529504,1.08561488157078,0.894171279713448,0.557874519846351,0.383012820512821,0.297623089983022,0.928535732133933,0.760378611756891
"FIGN","human_marmoset","Vip","FIGN",0.78,0.705,NA,0.56,0.41,NA,1.30322061788589,0.46927772194019,0.806184275556162,0.277183297425542,0.0220586729224898,0.0615016254676943,0.836209703679583,0.40550576184379,0.631944444444444,0.268251273344652,0.0289855072463768,0.0727333111922949
"CALB2","human_marmoset","Vip","CALB2",0.78,0.806,NA,0.56,0.612,NA,0.647429657922137,0.0427879797433757,0.810690546972955,0.094122456190944,0.496876798831383,0.0459602571644352,0.599804623901009,0.0481434058898848,0.689636752136752,0.103056027164686,0.366816591704148,0.0461640650946529
"CHRNA2","human","Vip","CHRNA2",0.777,NA,NA,0.554,NA,NA,0.601060886527368,0.0287262509633506,0.0443489923417609,0.00282436881722219,0,0.00911490556846071,0.581895148160208,0.0331626120358515,0.0571581196581197,0.00407470288624788,0,0.0116240451677184
"SHISA8","human","Vip","SHISA8",0.776,NA,NA,0.552,NA,NA,0.747471156423837,0.0773053511818554,0.159081040231258,0.020909708506237,0.213191131405727,0.0784452215722069,0.616085965483556,0.0923175416133163,0.181089743589744,0.0293718166383701,0.228885557221389,0.0855197608767851
"B4GALT6","human","Vip","B4GALT6",0.775,NA,NA,0.55,NA,NA,1.33813673647123,0.667817560603364,0.356002039514095,0.321436968324878,0.42227570041639,0.508947898795483,0.905893845652882,0.628681177976953,0.41025641025641,0.378777589134126,0.434782608695652,0.563932248422451
"ADARB2.1","human_marmoset_mouse","Vip","ADARB2",0.774,0.795,0.843,0.548,0.59,0.686,4.09324565592174,1.54912650402318,3.64561688888532,1.33631472528951,4.94022325621685,1.59068596796399,1,0.484122919334187,0.999465811965812,0.47402376910017,1,0.418299568249751
"ADAMTS6","human","Vip","ADAMTS6",0.771,NA,NA,0.542,NA,NA,1.14362604064563,0.321199589410191,0.614033953193324,0.318069939310927,0.100389910498325,0.395502368850309,0.741126668837512,0.271318822023047,0.504273504273504,0.305432937181664,0.108945527236382,0.375954832281634
"VWC2L","human_marmoset_mouse","Vip","VWC2L",0.769,0.849,0.729,0.538,0.698,0.458,1.41817005689198,0.548328199103647,1.24745565565244,0.191254642449702,0.908410247349066,0.135389545102381,0.840768479322696,0.411523687580026,0.80715811965812,0.171137521222411,0.546726636681659,0.115244104948522
"NR3C2","human_marmoset_mouse","Vip","NR3C2",0.769,0.763,0.744,0.538,0.526,0.488,2.01774939410197,1.33550961197787,1.59017485987482,0.9115265380043,1.84351316285567,1.14564466367576,0.958971019211983,0.88719590268886,0.943910256410256,0.747877758913413,0.95552223888056,0.800730654267685
"NELL2","human_mouse","Vip","NELL2",0.768,NA,0.742,0.536,NA,0.484,1.38159828106907,0.469706383049676,0.664803961981817,0.411510008003103,1.21140923696297,0.562565685380102,0.787365678931944,0.387836107554417,0.585470085470085,0.372665534804754,0.833083458270865,0.489040185984723
"KCNH7","human","Vip","KCNH7",0.764,NA,NA,0.528,NA,NA,2.22150715776604,1.35256572562282,1.74924672430178,1.53655509129521,1.55989593155695,2.01716166822891,0.950179094757408,0.79078104993598,0.956196581196581,0.89660441426146,0.875062468765617,0.851046164065095
"FRMD4A","human","Vip","FRMD4A",0.762,NA,NA,0.524,NA,NA,3.61593686060223,3.19579900668439,2.83618239337555,2.71587679280462,3.07058391297165,2.72498329965957,1,0.999487836107554,0.998397435897436,0.994057724957555,1,0.993191630687479
"SORCS3","human_marmoset_mouse","Vip","SORCS3",0.759,0.743,0.934,0.518,0.486,0.868,1.81554094651192,0.894084848132989,1.28645174491984,0.514427515137231,2.82888142358148,0.859316885283387,0.942689677629437,0.528553137003841,0.77724358974359,0.386757215619694,0.996501749125437,0.529392228495516
"TAC3","human","Vip","TAC3",0.757,NA,NA,0.514,NA,NA,0.873996548934451,0.0715252231420393,0.010060233392508,0.000588410170254623,0.926381263780881,0.162198886834859,0.563334418756105,0.0661971830985915,0.0128205128205128,0.000848896434634975,0.432283858070965,0.0918299568249751
"ADRA1B","human_mouse","Vip","ADRA1B",0.757,NA,0.715,0.514,NA,0.43,0.811477135184606,0.177335870391413,0.479858111214008,0.147017685933352,0.967170340224948,0.342749316353213,0.657766199934875,0.169014084507042,0.480235042735043,0.149745331069609,0.668665667166417,0.314845566257057
"KIAA1456","human","Vip","KIAA1456",0.755,NA,NA,0.51,NA,NA,1.3106004115757,0.71133060803382,0.202280946605142,0.121946798963524,0.157030438558883,0.256420421211924,0.929338977531749,0.638924455825864,0.244123931623932,0.156536502546689,0.172913543228386,0.29757555629359
"KMO","human","Vip","KMO",0.75,NA,NA,0.5,NA,NA,0.778583176507619,0.0886293741131402,0.0494644367856412,0.0269276543858595,0.0334049787304273,0.0453550680373224,0.567241940735917,0.0798975672215109,0.0598290598290598,0.0354838709677419,0.0449775112443778,0.0619395549651279
"PPP1R1C","human","Vip","PPP1R1C",0.749,NA,NA,0.498,NA,NA,0.643811123470849,0.0384549322803237,0.312216971930948,0.0200946010235561,0.00473244526232197,0.0165294240244003,0.531748616085965,0.0399487836107554,0.293803418803419,0.0234295415959253,0.00499750124937531,0.0197608767851212
"CNTN6","human","Vip","CNTN6",0.744,NA,NA,0.488,NA,NA,1.04773763836668,0.361752969977379,0.762106289891331,0.497299543511785,1.79425738433846,1.23433317543333,0.732334744382937,0.327656850192061,0.601495726495726,0.423938879456706,0.947526236881559,0.714878777814679
"FAT4","human","Vip","FAT4",0.744,NA,NA,0.488,NA,NA,0.838237105644446,0.221082698462822,0.367934191280582,0.110366717440886,0.366667578792378,0.129665251413748,0.663627482904591,0.200640204865557,0.373397435897436,0.130390492359932,0.375312343828086,0.150282298239787
"NFIB.1","human_marmoset_mouse","Vip","NFIB",0.744,0.798,0.747,0.488,0.596,0.494,2.12530592168442,0.994244460709174,1.52715955552007,0.609535534214383,1.86861975545714,0.871440803440062,0.98599804623901,0.456978233034571,0.94017094017094,0.430220713073005,0.969515242378811,0.437728329458652
"EGFR.1","human_marmoset_mouse","Vip","EGFR",0.742,0.751,0.79,0.484,0.502,0.58,1.27512523487949,0.561868793757936,1.12230821885562,0.400071498370507,1.43509125359832,0.320454229015364,0.85965483555845,0.378617157490397,0.767628205128205,0.303565365025467,0.742628685657171,0.18365991364995
"PTPRZ1","human_marmoset_mouse","Vip","PTPRZ1",0.741,0.709,0.76,0.482,0.418,0.52,0.992952691769529,0.313064696137764,0.883976858268941,0.364556320754894,1.42690574318778,0.537439983393869,0.693585151416477,0.285403329065301,0.701923076923077,0.352122241086587,0.793103448275862,0.445865161076054
"CPE","human","Vip","CPE",0.741,NA,NA,0.482,NA,NA,1.46019714270599,0.860737552820599,0.762092552211964,0.507721488852599,1.53567462193864,1.38086999367931,0.931292738521654,0.711267605633803,0.683760683760684,0.516298811544991,0.958020989505247,0.941049485220857
"PDE3A","human","Vip","PDE3A",0.74,NA,NA,0.48,NA,NA,1.14002737913677,0.318366370133653,0.634030764778428,0.262880293736658,0.238842892000292,0.0434903210937734,0.665581243894497,0.234955185659411,0.503205128205128,0.21358234295416,0.182908545727136,0.0380272334772501
"CCNG2","human","Vip","CCNG2",0.74,NA,NA,0.48,NA,NA,0.676904235223785,0.133206847426786,0.208299112034559,0.0937181233451477,0.0818228984080762,0.0996706341762743,0.606317160534028,0.174519846350832,0.253739316239316,0.122920203735144,0.108445777111444,0.136499501826636
"CACNA1D","human","Vip","CACNA1D",0.739,NA,NA,0.478,NA,NA,2.18948598190482,1.73462730978918,1.67445148195689,1.63257805536509,1.98894583266976,1.88647349265755,0.998371865841745,0.9797695262484,0.976495726495726,0.976740237691002,0.994502748625687,0.984058452341415
"MARCH1","human","Vip","MARCH1",0.737,NA,NA,0.474,NA,NA,1.97042584353909,1.04818530814057,0.446485691697142,0.38072059212889,1.84197736389219,1.10361439490389,0.939433409312927,0.571318822023047,0.420940170940171,0.341595925297114,0.874062968515742,0.644304217867818
