metaneighbor_cluster,metaneighbor_cluster_label,cross_species_cluster,subclass,subclass_color,within_species_clusters,number_of_clusters,present_in_species,number_of_species
sst_sst_chodl_pvalb|3,Pvalb_3,Pvalb_3,Pvalb,#d93136,"human|Pvalb_10, human|Pvalb_11, human|Pvalb_12, human|Pvalb_13, chimp|Pvalb_4, gorilla|Pvalb_3, rhesus|Pvalb_1, marmoset|Pvalb_1",8,"human, chimp, gorilla, rhesus, marmoset",5
sst_sst_chodl_pvalb|6,Pvalb_4,Pvalb_4,Pvalb,#d93136,"human|Pvalb_14, human|Pvalb_15, human|Pvalb_2, human|Pvalb_3, human|Pvalb_4, human|Pvalb_5, chimp|Pvalb_6, chimp|Pvalb_7, chimp|Pvalb_8, gorilla|Pvalb_4, gorilla|Pvalb_6, gorilla|Pvalb_7, rhesus|Pvalb_10, rhesus|Pvalb_6, rhesus|Pvalb_7, rhesus|Pvalb_8, rhesus|Pvalb_9, marmoset|Pvalb_2, marmoset|Pvalb_4",19,"human, chimp, gorilla, rhesus, marmoset",5
sst_sst_chodl_pvalb|2,Pvalb_5,Pvalb_4,Pvalb,#d93136,"human|Pvalb_1, chimp|Pvalb_5, rhesus|Pvalb_2, marmoset|Pvalb_3",4,"human, chimp, rhesus, marmoset",4
sst_sst_chodl_pvalb|9,Pvalb_6,Pvalb_4,Pvalb,#d93136,"human|Pvalb_6, chimp|Pvalb_2, gorilla|Pvalb_5",3,"human, chimp, gorilla",3
lamp5_sncg_vip|10,Sncg_1,Sncg_1,Sncg,#df70ff,"human|Sncg_3, chimp|Sncg_5, gorilla|Sncg_6, rhesus|Sncg_7, marmoset|Sncg_8",5,"human, chimp, gorilla, rhesus, marmoset",5
lamp5_sncg_vip|36,Sncg_8,Sncg_1,Sncg,#df70ff,"gorilla|Sncg_4, marmoset|Sncg_7",2,"gorilla, marmoset",2
lamp5_sncg_vip|11,Sncg_2,Sncg_2,Sncg,#df70ff,"human|Sncg_4, chimp|Sncg_2, chimp|Sncg_6, chimp|Sncg_9, gorilla|Sncg_2, rhesus|Sncg_1, rhesus|Sncg_2, rhesus|Sncg_3, marmoset|Sncg_3",9,"human, chimp, gorilla, rhesus, marmoset",5
lamp5_sncg_vip|12,Sncg_5,Sncg_2,Sncg,#df70ff,"human|Sncg_5, gorilla|Sncg_3",2,"human, gorilla",2
lamp5_sncg_vip|14,Sncg_6,Sncg_2,Sncg,#df70ff,"human|Sncg_7, chimp|Sncg_8, rhesus|Sncg_4",3,"human, chimp, rhesus",3
lamp5_sncg_vip|7,Sncg_3,Sncg_3,Sncg,#df70ff,"human|Pax6_4, chimp|Pax6_4, gorilla|Pax6_1, rhesus|Pax6_4, marmoset|Pax6_3, marmoset|Sncg_6",6,"human, chimp, gorilla, rhesus, marmoset",5
lamp5_sncg_vip|13,Sncg_7,Sncg_3,Sncg,#df70ff,"human|Sncg_6, chimp|Sncg_3, chimp|Sncg_4, gorilla|Sncg_1, marmoset|Sncg_4",5,"human, chimp, gorilla, marmoset",4
sst_sst_chodl_pvalb|13,Sst Chodl_1,Sst Chodl_1,Sst Chodl,#b0b10b,"human|Sst Chodl_1, chimp|Sst Chodl_1, gorilla|Sst Chodl_1, gorilla|Sst Chodl_2, rhesus|Sst Chodl_1, marmoset|Sst Chodl_1",6,"human, chimp, gorilla, rhesus, marmoset",5
sst_sst_chodl_pvalb|14,Sst Chodl_2,Sst Chodl_1,Sst Chodl,#b0b10b,"human|Sst Chodl_2, gorilla|Sst Chodl_3, rhesus|Sst Chodl_2, marmoset|Sst Chodl_2",4,"human, gorilla, rhesus, marmoset",4
sst_sst_chodl_pvalb|15,Sst_1,Sst_1,Sst,#ff9900,"human|Sst_1, chimp|Sst_9, gorilla|Sst_4, rhesus|Sst_1, marmoset|Sst_7",5,"human, chimp, gorilla, rhesus, marmoset",5
sst_sst_chodl_pvalb|36,Sst_10,Sst_2,Sst,#ff9900,"gorilla|Sst_6, marmoset|Sst_9",2,"gorilla, marmoset",2
sst_sst_chodl_pvalb|26,Sst_2,Sst_2,Sst,#ff9900,"human|Sst_11, human|Sst_22, chimp|Sst_6, gorilla|Sst_16, gorilla|Sst_17, rhesus|Sst_11, marmoset|Sst_13",7,"human, chimp, gorilla, rhesus, marmoset",5
sst_sst_chodl_pvalb|19,Sst_11,Sst_3,Sst,#ff9900,"human|Sst_13, chimp|Sst_15",2,"human, chimp",2
sst_sst_chodl_pvalb|20,Sst_3,Sst_3,Sst,#ff9900,"human|Sst_10, human|Sst_14, human|Sst_18, human|Sst_8, chimp|Sst_3, chimp|Sst_4, gorilla|Sst_10, gorilla|Sst_7, rhesus|Sst_6, rhesus|Sst_7, marmoset|Sst_4, marmoset|Sst_6",12,"human, chimp, gorilla, rhesus, marmoset",5
sst_sst_chodl_pvalb|18,Sst_4,Sst_4,Sst,#ff9900,"human|Sst_12, human|Sst_15, chimp|Sst_10, gorilla|Sst_5, rhesus|Sst_14, marmoset|Sst_8",6,"human, chimp, gorilla, rhesus, marmoset",5
sst_sst_chodl_pvalb|11,Pvalb_7,Sst_5,Pvalb,#d93136,"human|Pvalb_8, chimp|Pvalb_9, gorilla|Pvalb_8",3,"human, chimp, gorilla",3
sst_sst_chodl_pvalb|24,Sst_12,Sst_5,Sst,#ff9900,"human|Sst_2, chimp|Sst_1, gorilla|Sst_13",3,"human, chimp, gorilla",3
